Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.22-192.168.1.29-2404-42117-6,192.168.1.29,42117.0,192.168.1.22,2404.0,6.0,05/06/2020 08:00:41 PM,44999072.0,2.0,10.0,22.0,109.0,16.0,6.0,11.0,7.071067811865476,16.0,6.0,10.9,5.173651192984184,2.9111711459294094,0.2666721660393352,4090824.727272728,4734204.261327791,10014242.0,136.0,30225120.0,30225120.0,0.0,30225120.0,30225120.0,44999072.0,4999896.888888889,4786505.07893122,10014378.0,171.0,0.0,1.0,0.0,0.0,64,320,0.0444453610065558,0.2222268050327793,6.0,16.0,10.538461538461537,5.1090668524265865,26.102564102564106,0,0,0,1,1,0.0,0.0,0.0,5.0,11.416666666666664,11.0,10.9,0.0,0,0.0,0.0,0.0,0.0,2.0,22.0,10.0,109.0,-1.0,260.0,2.0,0.0,1937871.666666667,2504223.3261770667,4766351.0,3139.0,9796330.25,422000.9699146634,10014242.0,9163387.0,c_rd_na_1_DoS
192.168.1.22-192.168.1.29-2404-38393-6,192.168.1.29,38393.0,192.168.1.22,2404.0,6.0,05/06/2020 09:45:45 PM,53966569.0,2.0,8.0,22.0,77.0,16.0,6.0,11.0,7.071067811865476,16.0,6.0,9.625,5.012484413940856,1.8344690395270449,0.1852999029825298,5996285.444444444,4900676.602743164,10015337.0,66.0,30020289.0,30020289.0,0.0,30020289.0,30020289.0,53966569.0,7709509.857142857,4076200.9231740288,10015403.0,403.0,0.0,1.0,0.0,0.0,64,256,0.0370599805965059,0.1482399223860238,6.0,16.0,9.545454545454543,4.926735965396083,24.272727272727277,0,0,0,1,1,0.0,0.0,0.0,4.0,10.5,11.0,9.625,0.0,0,0.0,0.0,0.0,0.0,2.0,22.0,8.0,77.0,-1.0,260.0,2.0,0.0,1322003.6666666665,2289073.465130452,3965198.0,66.0,10000111.6,17616.183108153706,10015337.0,9970350.0,c_rd_na_1_DoS
192.168.1.22-192.168.1.29-2404-41837-6,192.168.1.29,41837.0,192.168.1.22,2404.0,6.0,06/06/2020 12:19:10 AM,35032640.0,2.0,10.0,22.0,109.0,16.0,6.0,11.0,7.071067811865476,16.0,6.0,10.9,5.173651192984184,3.7393699133151257,0.3425377019830649,3184785.4545454537,4584941.072487395,10014803.0,37.0,20038874.0,20038874.0,0.0,20038874.0,20038874.0,35032640.0,3892515.555555557,4814537.756713206,10014803.0,1276.0,0.0,1.0,0.0,0.0,64,320,0.0570896169971774,0.2854480849858874,6.0,16.0,10.538461538461537,5.1090668524265865,26.102564102564106,0,0,0,1,1,0.0,0.0,0.0,5.0,11.416666666666664,11.0,10.9,0.0,0,0.0,0.0,0.0,0.0,2.0,22.0,10.0,109.0,-1.0,260.0,2.0,0.0,1727588.3333333335,2820131.484962418,4981962.0,749.0,9948488.333333334,112241.3843345374,10014803.0,9818895.0,c_rd_na_1_DoS
192.168.1.22-192.168.1.29-2404-44105-6,192.168.1.29,44105.0,192.168.1.22,2404.0,6.0,05/06/2020 10:34:53 PM,41982930.0,2.0,10.0,22.0,109.0,16.0,6.0,11.0,7.071067811865476,16.0,6.0,10.9,5.173651192984184,3.120315804542465,0.2858304553779357,3816630.0,4449359.442870108,10016437.0,84.0,10003578.0,10003578.0,0.0,10003578.0,10003578.0,41982930.0,4664770.0,4505211.904321649,10017096.0,418.0,0.0,1.0,0.0,0.0,64,320,0.0476384092296559,0.2381920461482797,6.0,16.0,10.538461538461537,5.1090668524265865,26.102564102564106,0,0,0,1,1,0.0,0.0,0.0,5.0,11.416666666666664,11.0,10.9,0.0,0,0.0,0.0,0.0,0.0,2.0,22.0,10.0,109.0,-1.0,260.0,2.0,0.0,748.6666666666665,179.19914434319531,955.0,632.0,8200101.6,2293054.2819863204,10016437.0,5686384.0,c_rd_na_1_DoS
192.168.1.22-192.168.1.29-2404-37615-6,192.168.1.29,37615.0,192.168.1.22,2404.0,6.0,05/06/2020 10:38:31 PM,21000388.0,2.0,5.0,22.0,39.0,16.0,6.0,11.0,7.071067811865476,15.0,6.0,7.8,4.024922359499621,2.904708236819244,0.3333271747169624,3500064.666666666,5063922.791835186,10021546.0,108.0,10030912.0,10030912.0,0.0,10030912.0,10030912.0,21000388.0,5250097.0,5527357.993474339,10028708.0,1027.0,0.0,1.0,0.0,0.0,64,160,0.0952363356334178,0.2380908390835445,6.0,16.0,8.375,4.405759217855,19.41071428571429,0,0,0,1,1,0.0,0.0,0.0,2.0,9.571428571428571,11.0,7.8,0.0,0,0.0,0.0,0.0,0.0,2.0,22.0,5.0,39.0,-1.0,260.0,2.0,0.0,5196.5,5896.5634483146205,9366.0,1027.0,10020444.0,1558.4633457351508,10021546.0,10019342.0,c_rd_na_1_DoS
192.168.1.22-192.168.1.29-2404-39299-6,192.168.1.29,39299.0,192.168.1.22,2404.0,6.0,05/06/2020 10:49:35 PM,24239872.0,2.0,6.0,22.0,55.0,16.0,6.0,11.0,7.071067811865476,16.0,6.0,9.166666666666666,4.915960401250875,3.176584430808876,0.330034746058065,3462838.857142857,4619719.247952933,10012969.0,143.0,10013813.0,10013813.0,0.0,10013813.0,10013813.0,24239872.0,4847974.4,4860432.8777353065,10013119.0,143.0,0.0,1.0,0.0,0.0,64,192,0.0825086865145162,0.2475260595435487,6.0,16.0,9.22222222222222,4.841946348777984,23.44444444444445,0,0,0,1,1,0.0,0.0,0.0,3.0,10.375,11.0,9.166666666666666,0.0,0,0.0,0.0,0.0,0.0,2.0,22.0,6.0,55.0,-1.0,260.0,2.0,0.0,493.5,495.6818536117697,844.0,143.0,10012357.5,864.7915933911478,10012969.0,10011746.0,c_rd_na_1_DoS
192.168.1.22-192.168.1.29-2404-40351-6,192.168.1.29,40351.0,192.168.1.22,2404.0,6.0,05/06/2020 10:56:16 PM,23434425.0,2.0,6.0,22.0,55.0,16.0,6.0,11.0,7.071067811865476,16.0,6.0,9.166666666666666,4.915960401250875,3.285764425625976,0.3413781221429585,3347774.9999999995,4636518.664789061,10014630.0,140.0,10016703.0,10016703.0,0.0,10016703.0,10016703.0,23434425.0,4686885.0,4940821.775012635,10015590.0,1032.0,0.0,1.0,0.0,0.0,64,192,0.0853445305357396,0.2560335916072188,6.0,16.0,9.22222222222222,4.841946348777984,23.44444444444445,0,0,0,1,1,0.0,0.0,0.0,3.0,10.375,11.0,9.166666666666666,0.0,0,0.0,0.0,0.0,0.0,2.0,22.0,6.0,55.0,-1.0,260.0,2.0,0.0,1552.5,736.0981592151961,2073.0,1032.0,10014073.5,787.0098474606275,10014630.0,10013517.0,c_rd_na_1_DoS
192.168.1.22-192.168.1.29-2404-33157-6,192.168.1.29,33157.0,192.168.1.22,2404.0,6.0,05/06/2020 11:49:58 PM,25987703.0,2.0,6.0,22.0,55.0,16.0,6.0,11.0,7.071067811865476,16.0,6.0,9.166666666666668,4.915960401250875,2.9629398181132047,0.3078379031805928,3712529.0,4653759.648211397,10016782.0,65.0,10014210.0,10014210.0,0.0,10014210.0,10014210.0,25987703.0,5197540.6,4779326.246546819,10017466.0,335.0,0.0,1.0,0.0,0.0,64,192,0.0769594757951482,0.2308784273854445,6.0,16.0,9.222222222222223,4.841946348777984,23.44444444444445,0,0,0,1,1,0.0,0.0,0.0,3.0,10.375,11.0,9.166666666666666,0.0,0,0.0,0.0,0.0,0.0,2.0,22.0,6.0,55.0,-1.0,260.0,2.0,0.0,2494545.5,3526852.7559801107,4988407.0,684.0,10015154.0,2302.339679543399,10016782.0,10013526.0,c_rd_na_1_DoS
192.168.1.22-192.168.1.29-2404-36149-6,192.168.1.29,36149.0,192.168.1.22,2404.0,6.0,05/06/2020 08:05:04 PM,20996733.0,2.0,5.0,22.0,39.0,16.0,6.0,11.0,7.071067811865476,15.0,6.0,7.8,4.024922359499621,2.9052138730344383,0.3333851985449355,3499455.5,5058813.901771076,10013499.0,75.0,10014383.0,10014383.0,0.0,10014383.0,10014383.0,20996733.0,5249183.25,5514786.980947943,10013574.0,3411.0,0.0,1.0,0.0,0.0,64,160,0.0952529138699815,0.238132284674954,6.0,16.0,8.375,4.405759217855,19.41071428571429,0,0,0,1,1,0.0,0.0,0.0,2.0,9.571428571428571,11.0,7.8,0.0,0,0.0,0.0,0.0,0.0,2.0,22.0,5.0,39.0,-1.0,260.0,2.0,0.0,2147.5,1786.8588360584054,3411.0,884.0,10012472.5,1451.690221775982,10013499.0,10011446.0,c_rd_na_1_DoS
192.168.1.22-192.168.1.29-2404-38743-6,192.168.1.29,38743.0,192.168.1.22,2404.0,6.0,05/06/2020 08:49:02 PM,25995566.0,2.0,6.0,22.0,55.0,16.0,6.0,11.0,7.071067811865476,16.0,6.0,9.166666666666668,4.915960401250875,2.9620436038976803,0.3077447900153434,3713652.285714285,4651462.584570712,10019878.0,64.0,10011238.0,10011238.0,0.0,10011238.0,10011238.0,25995566.0,5199113.2,4775436.162947967,10020709.0,3021.0,0.0,1.0,0.0,0.0,64,192,0.0769361975038358,0.2308085925115075,6.0,16.0,9.222222222222223,4.841946348777984,23.44444444444445,0,0,0,1,1,0.0,0.0,0.0,3.0,10.375,11.0,9.166666666666666,0.0,0,0.0,0.0,0.0,0.0,2.0,22.0,6.0,55.0,-1.0,260.0,2.0,0.0,2491014.5,3521651.278497702,4981198.0,831.0,10015142.5,6697.008324617792,10019878.0,10010407.0,c_rd_na_1_DoS
